"species","thr10","thr_min"
"Guettarda_uruguensis",0.185858572704695,0.063528018209508
"Gymnanthes_klotzschiana",0.357963180947682,0.0349581439849539
"Handroanthus_albus",0.339181971309835,0.200301379240324
"Handroanthus_chrysotrichus",0.456210623954164,0.13260605752777
"Handroanthus_heptaphyllus",0.308416361270365,0.132499716524969
"Handroanthus_pulcherrimus",0.33824944735127,0.299188500530561
"Handroanthus_umbellatus",0.345237433277168,0.248776106303317
"Hedyosmum_brasiliense",0.255926294646151,0.0382919007657982
"Heisteria_silvianii",0.251473512193799,0.00800798592240598
"Helietta_apiculata",0.287638869016638,0.00354459987986433
"Heliocarpus_popayanensis",0.261771368768899,0.0651533492435999
"Hennecartia_omphalandra",0.343585979731871,0.0628816971501215
"Hieronyma_alchorneoides",0.326501121098105,0.0329732659681666
"Hirtella_hebeclada",0.269710453639985,0.0465823246682098
"Holocalyx_balansae",0.400746448685839,0.169455331129185
"Huberia_semiserrata",0.48191064026741,0.361695529218772
"Ilex_brevicuspis",0.421839615204637,0.0799921488698972
"Ilex_dumosa",0.27662092323137,0.00902141622285507
"Ilex_microdonta",0.204800402367069,0.0596076021110056
"Ilex_paraguariensis",0.300319423470897,0.00929838307997355
"Ilex_pseudobuxus",0.136331397564107,0.00139014183265218
"Ilex_taubertiana",0.34820546583082,0.0629930718367383
"Ilex_theezans",0.309220205048897,0.00592083914127817
"Inga_barbata",0.34436988473624,0.178143815428239
"Inga_edulis",0.309643357984626,0.0906018615648727
"Inga_edwallii",0.283454677477459,0.0135469478472489
"Inga_lentiscifolia",0.208871119105369,0.13478676648286
"Inga_marginata",0.407943767804368,0.0162637597323391
"Inga_sellowiana",0.159816238483565,0.0745060332246946
"Inga_sessilis",0.265784843539266,0.00500603997483579
"Inga_striata",0.388834658493475,0.0742927202572153
"Inga_subnuda",0.224444467240225,0.0346465620472371
"Inga_vera",0.354339737671282,0.00692721049616002
"Inga_virescens",0.285952118348827,0.0273176047870101
"Jacaranda_micrantha",0.31214636940925,0.0728805202955136
"Jacaranda_puberula",0.363250577640812,0.0153491929917741
"Jacaratia_spinosa",0.419412575991675,0.0586485602621917
"Jodina_rhombifolia",0.363258769049472,0.00295385348456195
