"Response","Resolution","model_type","Predictor","Estimate","Q5","Q95","Q11","Q89","direction","r2"
"Rich_ratio","10","sesam_only","bio6",-0.326693448626638,-2.375174,1.698906,-1.8393593,1.1733671,"Null",0.291
"Rich_ratio","10","sesam_only","bio7",0.669103747669883,-1.5037425,2.7960255,-0.92844869,2.2549076,"Null",0.291
"Rich_ratio","10","sesam_only","elevation",0.0050812567588725,-0.0053632915,0.015469835,-0.0027370118,0.012782009,"Null",0.291
"Rich_ratio","10","sesam_only","nslatitudinal_eingevectordfEQ31",-2.74714887270917,-5.0070505,-0.5114143,-4.4152563,-1.07517,"Negative",0.291
"Rich_ratio","10","sesam_only","nslatitudinal_eingevectordfEQ32",-4.315253811791,-11.810885,3.074915,-9.8054478,1.2442811,"Null",0.291
"Rich_ratio","10","sesam_only","nslatitudinal_eingevectordfEQ33",2.21888011167258,-1.2281265,5.591554,-0.3500708,4.7449473,"Null",0.291
"Rich_ratio","10","sesam_only","nslongitudinal_eingevectordfEQ31",-1.01511104196742,-5.9352375,3.7371035,-4.6612126,2.5677832,"Null",0.291
"Rich_ratio","10","sesam_only","nslongitudinal_eingevectordfEQ32",-2.33035390694833,-9.4916525,4.4690725,-7.4949636,2.8286162,"Null",0.291
"Rich_ratio","10","sesam_only","nslongitudinal_eingevectordfEQ33",2.4681387551225,-4.607743,9.3807065,-2.7551108,7.6617144,"Null",0.291
"Rich_ratio","10","sesam_only","sampling_effort",-2.80629330797583,-6.266703,0.6584537,-5.3841621,-0.23134615,"Negative",0.291
"BetaDiv_jac","10","threshold10_and_sesam","Forest_coverage_2007",-0.149267905875,-0.19486265,-0.1043205,-0.18351333,-0.11581335,"Negative",0.413
"BetaDiv_jac","10","threshold10_and_sesam","Forest_patch_area",2.434365621675e-05,1.193372e-05,3.683338e-05,1.5020747e-05,3.36496e-05,"Positive",0.413
"BetaDiv_jac","10","threshold10_and_sesam","bio15",-0.000369097011272167,-0.003430228,0.0026388525,-0.0026509954,0.0018556627,"Null",0.413
"BetaDiv_jac","10","threshold10_and_sesam","bio17",0.000150126222799825,-0.00010509885,0.00040362775,-4.036585e-05,0.00034363599,"Null",0.413
"BetaDiv_jac","10","threshold10_and_sesam","bio2",-0.0347650850546417,-0.06451035,-0.00536908500000002,-0.056734662,-0.012868845,"Negative",0.413
"BetaDiv_jac","10","threshold10_and_sesam","bio6",0.0267516930600608,-0.013304045,0.066817485,-0.0034824828,0.056968749,"Null",0.413
"BetaDiv_jac","10","threshold10_and_sesam","bio7",0.0308422416993208,-0.01037446,0.07210857,-4.14568629999996e-05,0.061821165,"Null",0.413
